date,Altcoin_unscaled,Altcoin_monthly,isPartial,scale,Altcoin
2022-11-27,58,21.0,False,0.21,12.18
2022-11-28,0,21.0,,0.21,0.0
2022-11-29,0,21.0,,0.21,0.0
2022-11-30,0,21.0,,0.21,0.0
2022-12-01,25,21.0,,0.21,5.25
2022-12-02,22,21.0,,0.21,4.62
2022-12-03,43,21.0,,0.21,9.03
2022-12-04,25,23.0,False,0.23,5.75
2022-12-05,26,23.0,,0.23,5.98
2022-12-06,63,23.0,,0.23,14.49
2022-12-07,0,23.0,,0.23,0.0
2022-12-08,23,23.0,,0.23,5.29
2022-12-09,0,23.0,,0.23,0.0
2022-12-10,45,23.0,,0.23,10.35
2022-12-11,0,26.0,False,0.26,0.0
2022-12-12,54,26.0,,0.26,14.040000000000001
2022-12-13,52,26.0,,0.26,13.52
2022-12-14,28,26.0,,0.26,7.28
2022-12-15,35,26.0,,0.26,9.1
2022-12-16,31,26.0,,0.26,8.06
2022-12-17,20,26.0,,0.26,5.2
2022-12-18,27,31.0,False,0.31,8.37
2022-12-19,27,31.0,,0.31,8.37
2022-12-20,0,31.0,,0.31,0.0
2022-12-21,28,31.0,,0.31,8.68
2022-12-22,0,31.0,,0.31,0.0
2022-12-23,100,31.0,,0.31,31.0
2022-12-24,42,31.0,,0.31,13.02
2022-12-25,32,18.0,False,0.18,5.76
2022-12-26,45,18.0,,0.18,8.1
2022-12-27,29,18.0,,0.18,5.22
2022-12-28,0,18.0,,0.18,0.0
2022-12-29,0,18.0,,0.18,0.0
2022-12-30,0,18.0,,0.18,0.0
2022-12-31,19,18.0,,0.18,3.42
2023-01-01,100,24.0,False,0.24,24.0
2023-01-02,0,24.0,,0.24,0.0
2023-01-03,42,24.0,,0.24,10.08
2023-01-04,0,24.0,,0.24,0.0
2023-01-05,0,24.0,,0.24,0.0
2023-01-06,0,24.0,,0.24,0.0
2023-01-07,84,24.0,,0.24,20.16
2023-01-08,0,20.0,False,0.2,0.0
2023-01-09,28,20.0,,0.2,5.6000000000000005
2023-01-10,0,20.0,,0.2,0.0
2023-01-11,58,20.0,,0.2,11.600000000000001
2023-01-12,22,20.0,,0.2,4.4
2023-01-13,0,20.0,,0.2,0.0
2023-01-14,45,20.0,,0.2,9.0
2023-01-15,31,39.0,False,0.39,12.09
2023-01-16,33,39.0,,0.39,12.870000000000001
2023-01-17,50,39.0,,0.39,19.5
2023-01-18,0,39.0,,0.39,0.0
2023-01-19,37,39.0,,0.39,14.43
2023-01-20,0,39.0,,0.39,0.0
2023-01-21,94,39.0,,0.39,36.660000000000004
2023-01-22,66,31.0,False,0.31,20.46
2023-01-23,28,31.0,,0.31,8.68
2023-01-24,22,31.0,,0.31,6.82
2023-01-25,26,31.0,,0.31,8.06
2023-01-26,42,31.0,,0.31,13.02
2023-01-27,0,31.0,,0.31,0.0
2023-01-28,49,31.0,,0.31,15.19
2023-01-29,0,13.0,False,0.13,0.0
2023-01-30,0,13.0,,0.13,0.0
2023-01-31,0,13.0,,0.13,0.0
2023-02-01,0,13.0,,0.13,0.0
2023-02-02,0,13.0,,0.13,0.0
2023-02-03,74,13.0,,0.13,9.620000000000001
2023-02-04,0,13.0,,0.13,0.0
2023-02-05,38,21.0,False,0.21,7.9799999999999995
2023-02-06,38,21.0,,0.21,7.9799999999999995
2023-02-07,0,21.0,,0.21,0.0
2023-02-08,91,21.0,,0.21,19.11
2023-02-09,0,21.0,,0.21,0.0
2023-02-10,0,21.0,,0.21,0.0
2023-02-11,0,21.0,,0.21,0.0
2023-02-12,59,5.0,False,0.05,2.95
2023-02-13,0,5.0,,0.05,0.0
2023-02-14,0,5.0,,0.05,0.0
2023-02-15,48,5.0,,0.05,2.4000000000000004
2023-02-16,0,5.0,,0.05,0.0
2023-02-17,0,5.0,,0.05,0.0
2023-02-18,46,5.0,,0.05,2.3000000000000003
2023-02-19,0,18.0,False,0.18,0.0
2023-02-20,0,18.0,,0.18,0.0
2023-02-21,42,18.0,,0.18,7.56
2023-02-22,74,18.0,,0.18,13.32
2023-02-23,55,18.0,,0.18,9.9
2023-02-24,85,18.0,,0.18,15.299999999999999
2023-02-25,0,18.0,,0.18,0.0
2023-02-26,0,13.0,False,0.13,0.0
2023-02-27,55,13.0,,0.13,7.15
2023-02-28,100,13.0,,0.13,13.0
2023-03-01,0,13.0,,0.13,0.0
2023-03-02,45,13.0,,0.13,5.8500000000000005
2023-03-03,44,13.0,,0.13,5.720000000000001
2023-03-04,0,13.0,,0.13,0.0
2023-03-05,89,26.0,False,0.26,23.14
2023-03-06,0,26.0,,0.26,0.0
2023-03-07,0,26.0,,0.26,0.0
2023-03-08,70,26.0,,0.26,18.2
2023-03-09,47,26.0,,0.26,12.22
2023-03-10,42,26.0,,0.26,10.92
2023-03-11,0,26.0,,0.26,0.0
2023-03-12,36,14.0,False,0.14,5.040000000000001
2023-03-13,37,14.0,,0.14,5.180000000000001
2023-03-14,0,14.0,,0.14,0.0
2023-03-15,31,14.0,,0.14,4.340000000000001
2023-03-16,0,14.0,,0.14,0.0
2023-03-17,0,14.0,,0.14,0.0
2023-03-18,0,14.0,,0.14,0.0
2023-03-19,100,33.0,False,0.33,33.0
2023-03-20,31,33.0,,0.33,10.23
2023-03-21,79,33.0,,0.33,26.07
2023-03-22,25,33.0,,0.33,8.25
2023-03-23,57,33.0,,0.33,18.810000000000002
2023-03-24,0,33.0,,0.33,0.0
2023-03-25,53,33.0,,0.33,17.490000000000002
2023-03-26,0,17.0,False,0.17,0.0
2023-03-27,0,17.0,,0.17,0.0
2023-03-28,0,17.0,,0.17,0.0
2023-03-29,38,17.0,,0.17,6.460000000000001
2023-03-30,33,17.0,,0.17,5.61
2023-03-31,67,17.0,,0.17,11.39
2023-04-01,41,17.0,,0.17,6.970000000000001
