date,BTC_unscaled,BTC_monthly,isPartial,scale,BTC
2022-07-07,77,39.0,,0.39,30.03
2022-07-08,77,39.0,,0.39,30.03
2022-07-09,56,39.0,,0.39,21.84
2022-07-10,59,36.0,False,0.36,21.24
2022-07-11,72,36.0,,0.36,25.919999999999998
2022-07-12,77,36.0,,0.36,27.72
2022-07-13,78,36.0,,0.36,28.08
2022-07-14,79,36.0,,0.36,28.439999999999998
2022-07-15,67,36.0,,0.36,24.119999999999997
2022-07-16,55,36.0,,0.36,19.8
2022-07-17,55,36.0,False,0.36,19.8
2022-07-18,68,36.0,,0.36,24.48
2022-07-19,79,36.0,,0.36,28.439999999999998
2022-07-20,80,36.0,,0.36,28.799999999999997
2022-07-21,83,36.0,,0.36,29.88
2022-07-22,58,36.0,,0.36,20.88
2022-07-23,47,36.0,,0.36,16.919999999999998
2022-07-24,49,28.0,False,0.28,13.72
2022-07-25,66,28.0,,0.28,18.48
2022-07-26,65,28.0,,0.28,18.200000000000003
2022-07-27,59,28.0,,0.28,16.520000000000003
2022-07-28,68,28.0,,0.28,19.040000000000003
2022-07-29,63,28.0,,0.28,17.64
2022-07-30,51,28.0,,0.28,14.280000000000001
2022-07-31,50,27.0,False,0.27,13.5
2022-08-01,88,27.0,,0.27,23.76
2022-08-02,98,27.0,,0.27,26.46
2022-08-03,80,27.0,,0.27,21.6
2022-08-04,85,27.0,,0.27,22.950000000000003
2022-08-05,80,27.0,,0.27,21.6
2022-08-06,64,27.0,,0.27,17.28
2022-08-07,70,27.0,False,0.27,18.900000000000002
2022-08-08,88,27.0,,0.27,23.76
2022-08-09,81,27.0,,0.27,21.87
2022-08-10,82,27.0,,0.27,22.14
2022-08-11,87,27.0,,0.27,23.490000000000002
2022-08-12,78,27.0,,0.27,21.060000000000002
2022-08-13,69,27.0,,0.27,18.630000000000003
2022-08-14,77,25.0,False,0.25,19.25
2022-08-15,78,25.0,,0.25,19.5
2022-08-16,71,25.0,,0.25,17.75
2022-08-17,73,25.0,,0.25,18.25
2022-08-18,68,25.0,,0.25,17.0
2022-08-19,100,25.0,,0.25,25.0
2022-08-20,74,25.0,,0.25,18.5
2022-08-21,69,24.0,False,0.24,16.56
2022-08-22,84,24.0,,0.24,20.16
2022-08-23,69,24.0,,0.24,16.56
2022-08-24,69,24.0,,0.24,16.56
2022-08-25,69,24.0,,0.24,16.56
2022-08-26,80,24.0,,0.24,19.2
2022-08-27,78,24.0,,0.24,18.72
2022-08-28,81,26.0,False,0.26,21.060000000000002
2022-08-29,95,26.0,,0.26,24.7
2022-08-30,82,26.0,,0.26,21.32
2022-08-31,75,26.0,,0.26,19.5
2022-09-01,71,26.0,,0.26,18.46
2022-09-02,60,26.0,,0.26,15.600000000000001
2022-09-03,55,26.0,,0.26,14.3
2022-09-04,60,28.0,False,0.28,16.8
2022-09-05,62,28.0,,0.28,17.360000000000003
2022-09-06,90,28.0,,0.28,25.200000000000003
2022-09-07,96,28.0,,0.28,26.880000000000003
2022-09-08,70,28.0,,0.28,19.6
2022-09-09,80,28.0,,0.28,22.400000000000002
2022-09-10,66,28.0,,0.28,18.48
2022-09-11,57,26.0,False,0.26,14.82
2022-09-12,71,26.0,,0.26,18.46
2022-09-13,97,26.0,,0.26,25.220000000000002
2022-09-14,85,26.0,,0.26,22.1
2022-09-15,76,26.0,,0.26,19.76
2022-09-16,71,26.0,,0.26,18.46
2022-09-17,58,26.0,,0.26,15.08
2022-09-18,58,28.0,False,0.28,16.240000000000002
2022-09-19,100,28.0,,0.28,28.000000000000004
2022-09-20,83,28.0,,0.28,23.240000000000002
2022-09-21,81,28.0,,0.28,22.680000000000003
2022-09-22,83,28.0,,0.28,23.240000000000002
2022-09-23,78,28.0,,0.28,21.840000000000003
2022-09-24,59,28.0,,0.28,16.520000000000003
2022-09-25,60,24.0,False,0.24,14.399999999999999
2022-09-26,79,24.0,,0.24,18.96
2022-09-27,81,24.0,,0.24,19.439999999999998
2022-09-28,72,24.0,,0.24,17.28
2022-09-29,68,24.0,,0.24,16.32
2022-09-30,67,24.0,,0.24,16.08
2022-10-01,78,24.0,,0.24,18.72
2022-10-02,71,20.0,False,0.2,14.200000000000001
2022-10-03,91,20.0,,0.2,18.2
2022-10-04,91,20.0,,0.2,18.2
2022-10-05,81,20.0,,0.2,16.2
2022-10-06,77,20.0,,0.2,15.4
2022-10-07,76,20.0,,0.2,15.200000000000001
2022-10-08,67,20.0,,0.2,13.4
2022-10-09,68,18.0,False,0.18,12.24
2022-10-10,86,18.0,,0.18,15.479999999999999
2022-10-11,89,18.0,,0.18,16.02
2022-10-12,81,18.0,,0.18,14.58
2022-10-13,100,18.0,,0.18,18.0
2022-10-14,80,18.0,,0.18,14.399999999999999
2022-10-15,71,18.0,,0.18,12.78
2022-10-16,60,18.0,False,0.18,10.799999999999999
2022-10-17,82,18.0,,0.18,14.76
2022-10-18,77,18.0,,0.18,13.86
2022-10-19,71,18.0,,0.18,12.78
2022-10-20,81,18.0,,0.18,14.58
2022-10-21,72,18.0,,0.18,12.959999999999999
2022-10-22,65,18.0,,0.18,11.7
2022-10-23,64,19.0,False,0.19,12.16
2022-10-24,74,19.0,,0.19,14.06
2022-10-25,85,19.0,,0.19,16.15
2022-10-26,95,19.0,,0.19,18.05
2022-10-27,87,19.0,,0.19,16.53
2022-10-28,75,19.0,,0.19,14.25
2022-10-29,76,19.0,,0.19,14.44
2022-10-30,69,19.0,False,0.19,13.11
2022-10-31,84,19.0,,0.19,15.96
2022-11-01,24,19.0,,0.19,4.5600000000000005
2022-11-02,26,19.0,,0.19,4.94
2022-11-03,24,19.0,,0.19,4.5600000000000005
2022-11-04,27,19.0,,0.19,5.13
2022-11-05,28,19.0,,0.19,5.32
2022-11-06,23,49.0,False,0.49,11.27
2022-11-07,26,49.0,,0.49,12.74
2022-11-08,59,49.0,,0.49,28.91
2022-11-09,89,49.0,,0.49,43.61
2022-11-10,100,49.0,,0.49,49.0
2022-11-11,77,49.0,,0.49,37.73
2022-11-12,65,49.0,,0.49,31.849999999999998
2022-11-13,61,41.0,False,0.41,25.009999999999998
2022-11-14,67,41.0,,0.41,27.47
2022-11-15,54,41.0,,0.41,22.139999999999997
2022-11-16,54,41.0,,0.41,22.139999999999997
2022-11-17,54,41.0,,0.41,22.139999999999997
2022-11-18,43,41.0,,0.41,17.63
2022-11-19,34,41.0,,0.41,13.94
2022-11-20,36,29.0,False,0.29,10.44
2022-11-21,61,29.0,,0.29,17.689999999999998
2022-11-22,55,29.0,,0.29,15.95
2022-11-23,43,29.0,,0.29,12.469999999999999
2022-11-24,35,29.0,,0.29,10.149999999999999
2022-11-25,35,29.0,,0.29,10.149999999999999
2022-11-26,29,29.0,,0.29,8.41
2022-11-27,27,25.0,False,0.25,6.75
2022-11-28,45,25.0,,0.25,11.25
2022-11-29,38,25.0,,0.25,9.5
2022-11-30,38,25.0,,0.25,9.5
2022-12-01,76,25.0,,0.25,19.0
2022-12-02,69,25.0,,0.25,17.25
2022-12-03,61,25.0,,0.25,15.25
2022-12-04,68,20.0,False,0.2,13.600000000000001
2022-12-05,78,20.0,,0.2,15.600000000000001
2022-12-06,70,20.0,,0.2,14.0
2022-12-07,68,20.0,,0.2,13.600000000000001
2022-12-08,66,20.0,,0.2,13.200000000000001
2022-12-09,62,20.0,,0.2,12.4
2022-12-10,57,20.0,,0.2,11.4
2022-12-11,57,24.0,False,0.24,13.68
2022-12-12,69,24.0,,0.24,16.56
2022-12-13,100,24.0,,0.24,24.0
2022-12-14,87,24.0,,0.24,20.88
2022-12-15,76,24.0,,0.24,18.24
2022-12-16,81,24.0,,0.24,19.439999999999998
2022-12-17,74,24.0,,0.24,17.759999999999998
2022-12-18,56,21.0,False,0.21,11.76
2022-12-19,70,21.0,,0.21,14.7
2022-12-20,68,21.0,,0.21,14.28
2022-12-21,65,21.0,,0.21,13.65
2022-12-22,67,21.0,,0.21,14.07
2022-12-23,57,21.0,,0.21,11.969999999999999
2022-12-24,56,21.0,,0.21,11.76
2022-12-25,51,18.0,False,0.18,9.18
2022-12-26,61,18.0,,0.18,10.98
2022-12-27,66,18.0,,0.18,11.879999999999999
2022-12-28,64,18.0,,0.18,11.52
2022-12-29,62,18.0,,0.18,11.16
2022-12-30,58,18.0,,0.18,10.44
2022-12-31,53,18.0,,0.18,9.54
2023-01-01,37,19.0,False,0.19,7.03
2023-01-02,48,19.0,,0.19,9.120000000000001
2023-01-03,48,19.0,,0.19,9.120000000000001
2023-01-04,48,19.0,,0.19,9.120000000000001
2023-01-05,45,19.0,,0.19,8.55
2023-01-06,44,19.0,,0.19,8.36
2023-01-07,39,19.0,,0.19,7.41
2023-01-08,34,26.0,False,0.26,8.84
2023-01-09,50,26.0,,0.26,13.0
2023-01-10,54,26.0,,0.26,14.040000000000001
2023-01-11,52,26.0,,0.26,13.52
2023-01-12,75,26.0,,0.26,19.5
2023-01-13,79,26.0,,0.26,20.54
2023-01-14,100,26.0,,0.26,26.0
2023-01-15,70,32.0,False,0.32,22.400000000000002
2023-01-16,82,32.0,,0.32,26.240000000000002
2023-01-17,78,32.0,,0.32,24.96
2023-01-18,82,32.0,,0.32,26.240000000000002
2023-01-19,74,32.0,,0.32,23.68
2023-01-20,76,32.0,,0.32,24.32
2023-01-21,81,32.0,,0.32,25.92
2023-01-22,62,26.0,False,0.26,16.12
2023-01-23,69,26.0,,0.26,17.94
2023-01-24,69,26.0,,0.26,17.94
2023-01-25,64,26.0,,0.26,16.64
2023-01-26,58,26.0,,0.26,15.08
2023-01-27,60,26.0,,0.26,15.600000000000001
2023-01-28,50,26.0,,0.26,13.0
2023-01-29,66,26.0,False,0.26,17.16
2023-01-30,64,26.0,,0.26,16.64
2023-01-31,59,26.0,,0.26,15.34
2023-02-01,73,26.0,,0.26,18.98
2023-02-02,87,26.0,,0.26,22.62
2023-02-03,73,26.0,,0.26,18.98
2023-02-04,62,26.0,,0.26,16.12
2023-02-05,56,22.0,False,0.22,12.32
2023-02-06,64,22.0,,0.22,14.08
2023-02-07,65,22.0,,0.22,14.3
2023-02-08,54,22.0,,0.22,11.88
2023-02-09,67,22.0,,0.22,14.74
2023-02-10,63,22.0,,0.22,13.86
2023-02-11,52,22.0,,0.22,11.44
2023-02-12,54,24.0,False,0.24,12.959999999999999
2023-02-13,64,24.0,,0.24,15.36
2023-02-14,63,24.0,,0.24,15.12
2023-02-15,73,24.0,,0.24,17.52
2023-02-16,100,24.0,,0.24,24.0
2023-02-17,71,24.0,,0.24,17.04
2023-02-18,57,24.0,,0.24,13.68
2023-02-19,57,21.0,False,0.21,11.969999999999999
2023-02-20,67,21.0,,0.21,14.07
2023-02-21,75,21.0,,0.21,15.75
2023-02-22,58,21.0,,0.21,12.18
2023-02-23,62,21.0,,0.21,13.02
2023-02-24,53,21.0,,0.21,11.129999999999999
2023-02-25,54,21.0,,0.21,11.34
2023-02-26,49,19.0,False,0.19,9.31
2023-02-27,59,19.0,,0.19,11.21
2023-02-28,49,19.0,,0.19,9.31
2023-03-01,45,19.0,,0.19,8.55
2023-03-02,40,19.0,,0.19,7.6
2023-03-03,49,19.0,,0.19,9.31
2023-03-04,39,19.0,,0.19,7.41
2023-03-05,37,21.0,False,0.21,7.77
2023-03-06,41,21.0,,0.21,8.61
2023-03-07,34,21.0,,0.21,7.14
2023-03-08,39,21.0,,0.21,8.19
2023-03-09,52,21.0,,0.21,10.92
2023-03-10,72,21.0,,0.21,15.12
2023-03-11,67,21.0,,0.21,14.07
2023-03-12,61,42.0,False,0.42,25.619999999999997
2023-03-13,98,42.0,,0.42,41.16
2023-03-14,100,42.0,,0.42,42.0
2023-03-15,84,42.0,,0.42,35.28
2023-03-16,63,42.0,,0.42,26.459999999999997
2023-03-17,83,42.0,,0.42,34.86
2023-03-18,85,42.0,,0.42,35.699999999999996
2023-03-19,89,41.0,False,0.41,36.489999999999995
2023-03-20,98,41.0,,0.41,40.18
2023-03-21,88,41.0,,0.41,36.08
2023-03-22,86,41.0,,0.41,35.26
2023-03-23,78,41.0,,0.41,31.979999999999997
2023-03-24,71,41.0,,0.41,29.11
2023-03-25,54,41.0,,0.41,22.139999999999997
2023-03-26,55,30.0,False,0.3,16.5
2023-03-27,73,30.0,,0.3,21.9
2023-03-28,60,30.0,,0.3,18.0
2023-03-29,73,30.0,,0.3,21.9
2023-03-30,66,30.0,,0.3,19.8
2023-03-31,64,30.0,,0.3,19.2
2023-04-01,53,30.0,,0.3,15.899999999999999
2023-04-02,55,26.0,False,0.26,14.3
2023-04-03,62,26.0,,0.26,16.12
2023-04-04,58,26.0,,0.26,15.08
2023-04-05,57,26.0,,0.26,14.82
2023-04-06,52,26.0,,0.26,13.52
2023-04-07,51,26.0,,0.26,13.26
2023-04-08,48,26.0,,0.26,12.48
2023-04-09,47,36.0,False,0.36,16.919999999999998
2023-04-10,73,36.0,,0.36,26.279999999999998
2023-04-11,100,36.0,,0.36,36.0
2023-04-12,86,36.0,,0.36,30.959999999999997
2023-04-13,76,36.0,,0.36,27.36
2023-04-14,80,36.0,,0.36,28.799999999999997
2023-04-15,55,36.0,,0.36,19.8
2023-04-16,49,26.0,False,0.26,12.74
2023-04-17,62,26.0,,0.26,16.12
2023-04-18,65,26.0,,0.26,16.900000000000002
2023-04-19,64,26.0,,0.26,16.64
2023-04-20,55,26.0,,0.26,14.3
2023-04-21,53,26.0,,0.26,13.780000000000001
2023-04-22,53,26.0,,0.26,13.780000000000001
2023-04-23,50,25.0,False,0.25,12.5
2023-04-24,52,25.0,,0.25,13.0
2023-04-25,51,25.0,,0.25,12.75
2023-04-26,69,25.0,,0.25,17.25
2023-04-27,54,25.0,,0.25,13.5
2023-04-28,47,25.0,,0.25,11.75
2023-04-29,43,25.0,,0.25,10.75
2023-04-30,42,24.0,False,0.24,10.08
2023-05-01,87,24.0,,0.24,20.88
2023-05-02,84,24.0,,0.24,20.16
2023-05-03,80,24.0,,0.24,19.2
2023-05-04,75,24.0,,0.24,18.0
2023-05-05,74,24.0,,0.24,17.759999999999998
2023-05-06,72,24.0,,0.24,17.28
2023-05-07,74,25.0,False,0.25,18.5
2023-05-08,100,25.0,,0.25,25.0
2023-05-09,80,25.0,,0.25,20.0
2023-05-10,82,25.0,,0.25,20.5
2023-05-11,76,25.0,,0.25,19.0
2023-05-12,79,25.0,,0.25,19.75
2023-05-13,62,25.0,,0.25,15.5
2023-05-14,60,22.0,False,0.22,13.2
2023-05-15,67,22.0,,0.22,14.74
2023-05-16,67,22.0,,0.22,14.74
2023-05-17,70,22.0,,0.22,15.4
2023-05-18,74,22.0,,0.22,16.28
2023-05-19,66,22.0,,0.22,14.52
2023-05-20,56,22.0,,0.22,12.32
2023-05-21,61,21.0,False,0.21,12.809999999999999
2023-05-22,69,21.0,,0.21,14.49
2023-05-23,67,21.0,,0.21,14.07
2023-05-24,73,21.0,,0.21,15.33
2023-05-25,67,21.0,,0.21,14.07
2023-05-26,60,21.0,,0.21,12.6
2023-05-27,58,21.0,,0.21,12.18
2023-05-28,65,21.0,False,0.21,13.65
2023-05-29,75,21.0,,0.21,15.75
2023-05-30,70,21.0,,0.21,14.7
2023-05-31,65,21.0,,0.21,13.65
2023-06-01,50,21.0,,0.21,10.5
2023-06-02,48,21.0,,0.21,10.08
2023-06-03,40,21.0,,0.21,8.4
2023-06-04,41,26.0,False,0.26,10.66
2023-06-05,59,26.0,,0.26,15.34
2023-06-06,76,26.0,,0.26,19.76
2023-06-07,60,26.0,,0.26,15.600000000000001
