date,BIT_unscaled,BIT_monthly,isPartial,scale,BIT
2023-08-01,89,84.0,,0.84,74.75999999999999
2023-08-02,97,84.0,,0.84,81.48
2023-08-03,95,84.0,,0.84,79.8
2023-08-04,93,84.0,,0.84,78.11999999999999
2023-08-05,96,84.0,,0.84,80.64
2023-08-06,98,83.0,False,0.83,81.33999999999999
2023-08-07,91,83.0,,0.83,75.53
2023-08-08,99,83.0,,0.83,82.17
2023-08-09,96,83.0,,0.83,79.67999999999999
2023-08-10,93,83.0,,0.83,77.19
2023-08-11,91,83.0,,0.83,75.53
2023-08-12,99,83.0,,0.83,82.17
2023-08-13,98,87.0,False,0.87,85.26
2023-08-14,96,87.0,,0.87,83.52
2023-08-15,95,87.0,,0.87,82.65
2023-08-16,97,87.0,,0.87,84.39
2023-08-17,92,87.0,,0.87,80.04
2023-08-18,92,87.0,,0.87,80.04
2023-08-19,89,87.0,,0.87,77.42999999999999
2023-08-20,100,79.0,False,0.79,79.0
2023-08-21,87,79.0,,0.79,68.73
2023-08-22,94,79.0,,0.79,74.26
2023-08-23,95,79.0,,0.79,75.05
2023-08-24,91,79.0,,0.79,71.89
